,time,latitude,longitude,2m_temperature,diff
7683,1990-11-17 03:00:00,40.25,271.75,279.2353,-2.620819
7684,1990-11-17 04:00:00,40.25,271.75,278.6283,-2.923584
7685,1990-11-17 05:00:00,40.25,271.75,276.80145,-3.5073853
7686,1990-11-17 06:00:00,40.25,271.75,276.35287,-3.151886
7687,1990-11-17 07:00:00,40.25,271.75,276.39728,-2.5830383
7690,1990-11-17 10:00:00,40.25,271.75,273.09738,-3.134613
7691,1990-11-17 11:00:00,40.25,271.75,273.04114,-2.5620728
7702,1990-11-17 22:00:00,40.25,271.75,278.97623,-4.3243103
7805,1990-11-22 05:00:00,40.25,271.75,286.36584,-2.4935608
7810,1990-11-22 10:00:00,40.25,271.75,278.94742,-3.6617737
7811,1990-11-22 11:00:00,40.25,271.75,279.20285,-2.746643
7822,1990-11-22 22:00:00,40.25,271.75,280.09464,-5.2147827
7823,1990-11-22 23:00:00,40.25,271.75,279.24994,-3.9518433
7846,1990-11-23 22:00:00,40.25,271.75,280.43726,-3.6826172
7847,1990-11-23 23:00:00,40.25,271.75,280.43433,-2.770752
7870,1990-11-24 22:00:00,40.25,271.75,284.9605,-2.4895935
7894,1990-11-25 22:00:00,40.25,271.75,284.5336,-4.641876
7946,1990-11-28 02:00:00,40.25,271.75,290.24518,-3.1082153
7949,1990-11-28 05:00:00,40.25,271.75,283.6975,-6.530945
7950,1990-11-28 06:00:00,40.25,271.75,282.68704,-3.5075073
7954,1990-11-28 10:00:00,40.25,271.75,273.9622,-5.220459
7955,1990-11-28 11:00:00,40.25,271.75,273.67014,-3.9685974
7956,1990-11-28 12:00:00,40.25,271.75,273.6424,-2.6521606
7966,1990-11-28 22:00:00,40.25,271.75,273.1649,-2.6887512
7990,1990-11-29 22:00:00,40.25,271.75,274.11548,-3.16568
8038,1990-12-01 22:00:00,40.25,271.75,279.32172,-2.5861816
8079,1990-12-03 15:00:00,40.25,271.75,281.80856,-2.502716
8081,1990-12-03 17:00:00,40.25,271.75,278.7713,-2.6932678
8082,1990-12-03 18:00:00,40.25,271.75,277.87036,-2.778839
8086,1990-12-03 22:00:00,40.25,271.75,272.6766,-3.2962952
8087,1990-12-03 23:00:00,40.25,271.75,272.88562,-2.7662354
8110,1990-12-04 22:00:00,40.25,271.75,268.8972,-2.4890747
8158,1990-12-06 22:00:00,40.25,271.75,273.54605,-3.266632
8159,1990-12-06 23:00:00,40.25,271.75,273.31573,-2.8173523
8182,1990-12-07 22:00:00,40.25,271.75,274.479,-3.5874634
8206,1990-12-08 22:00:00,40.25,271.75,277.28638,-4.0147095
8230,1990-12-09 22:00:00,40.25,271.75,281.29654,-3.892517
8254,1990-12-10 22:00:00,40.25,271.75,280.69992,-2.7514038
